****************************************************************************************************Id:0****************************************************************************************************
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:8554.425017720765
Id:0x0d1c5780, Parent:0x40230bc8, Miner: [Id:5    , Balance:150       ], Txns:2    , Time:8922.592532810539
Id:0x31244099, Parent:0x40230bc8, Miner: [Id:46   , Balance:0         ], Txns:1    , Time:9373.032593480308
Id:0x6c6141e3, Parent:0x0d1c5780, Miner: [Id:41   , Balance:100       ], Txns:1    , Time:10018.09452301623
Id:0x44a02d88, Parent:0x54c89f41, Miner: [Id:54   , Balance:0         ], Txns:3    , Time:10018.22081433529
Id:0x64005036, Parent:0x6c6141e3, Miner: [Id:4    , Balance:70        ], Txns:3    , Time:11103.362385116976
Id:0x51d3f9a9, Parent:0x64005036, Miner: [Id:5    , Balance:150       ], Txns:1    , Time:12329.122471270317
Id:0x457617a9, Parent:0x64005036, Miner: [Id:35   , Balance:0         ], Txns:1    , Time:12718.059565500702
Id:0x7685abf8, Parent:0x51d3f9a9, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:13335.946983444108
Id:0x30219e05, Parent:0x7685abf8, Miner: [Id:38   , Balance:50        ], Txns:2    , Time:14583.90466940193
Id:0x25cc61f2, Parent:0x7685abf8, Miner: [Id:11   , Balance:102       ], Txns:5    , Time:14714.310438415765
Id:0x325c26b2, Parent:0x30219e05, Miner: [Id:22   , Balance:52        ], Txns:1    , Time:16329.701108602565
Id:0x40c73474, Parent:0x30219e05, Miner: [Id:44   , Balance:50        ], Txns:7    , Time:16512.046957600298
Id:0x63450bb0, Parent:0x325c26b2, Miner: [Id:37   , Balance:102       ], Txns:2    , Time:17335.758841031213
Id:0x4dba2a59, Parent:0x325c26b2, Miner: [Id:48   , Balance:0         ], Txns:23   , Time:17430.689810251835
Id:0x3fbb6dbf, Parent:0x4dba2a59, Miner: [Id:51   , Balance:150       ], Txns:3    , Time:17884.486189715786
Id:0x2c384d88, Parent:0x63450bb0, Miner: [Id:50   , Balance:100       ], Txns:4    , Time:17890.44659558174
Id:0x0a484093, Parent:0x4dba2a59, Miner: [Id:12   , Balance:0         ], Txns:1    , Time:17978.729999457246
Id:0x4b8c79c3, Parent:0x44b97697, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:18071.408847555835
Id:0x46c73bd6, Parent:0x2c384d88, Miner: [Id:37   , Balance:102       ], Txns:3    , Time:19561.961594483546
Id:0x2a893ef6, Parent:0x2c384d88, Miner: [Id:19   , Balance:102       ], Txns:2    , Time:20063.68447657712
Id:0x5ffd9527, Parent:0x7685abf8, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:23855.09932247053
Id:0x2b855cc8, Parent:0x6c6141e3, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:25837.43903137908
Id:0x4ead5b5a, Parent:0x63450bb0, Miner: [Id:2    , Balance:100       ], Txns:3    , Time:27418.244449510923
Id:0x1690c083, Parent:0x00000001, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:32499.113339129308
Id:0x5cb59dc3, Parent:0x3fbb6dbf, Miner: [Id:2    , Balance:100       ], Txns:6    , Time:34360.85994327858
Id:0x471ba611, Parent:0x3f88afbd, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:35103.500616569014
Id:0x18ed04f9, Parent:0x64005036, Miner: [Id:2    , Balance:100       ], Txns:5    , Time:36496.093475111884
Id:0x6d96ac68, Parent:0x325c26b2, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:36920.08715084576
Id:0x1c0786f6, Parent:0x51d3f9a9, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:36986.77192620727
Id:0x5c1b438d, Parent:0x54c89f41, Miner: [Id:2    , Balance:100       ], Txns:5    , Time:38923.13706006268
Id:0x476f8e72, Parent:0x4263baa8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:44297.84784478192
Id:0x77cf78f7, Parent:0x46c73bd6, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:62038.55282581487
Id:0x569cdc1a, Parent:0x30219e05, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:65210.69086002046
Id:0x1259898d, Parent:0x77cf78f7, Miner: [Id:2    , Balance:100       ], Txns:1    , Time:65226.510820144846
****************************************************************************************************Id:3****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:1096.1040499910962
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1469.5333199844588
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:1758.3316694700884
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3688.4848950803444
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:3888.3734466464075
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4462.303707831612
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5308.488006717874
Id:0x3f88afbd, Parent:0x44b97697, Miner: [Id:6    , Balance:107       ], Txns:1    , Time:6634.7265866703365
Id:0x56a7b7a4, Parent:0x44b97697, Miner: [Id:51   , Balance:150       ], Txns:2    , Time:6662.6418319126715
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:7886.879080268052
Id:0x0d1c5780, Parent:0x40230bc8, Miner: [Id:5    , Balance:150       ], Txns:2    , Time:9171.734369633028
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:9199.901307493825
Id:0x31244099, Parent:0x40230bc8, Miner: [Id:46   , Balance:0         ], Txns:1    , Time:9471.95335164544
Id:0x6c6141e3, Parent:0x0d1c5780, Miner: [Id:41   , Balance:100       ], Txns:1    , Time:9846.585619564756
Id:0x44a02d88, Parent:0x54c89f41, Miner: [Id:54   , Balance:0         ], Txns:3    , Time:9970.678485865445
Id:0x64005036, Parent:0x6c6141e3, Miner: [Id:4    , Balance:70        ], Txns:3    , Time:10957.427650893835
Id:0x457617a9, Parent:0x64005036, Miner: [Id:35   , Balance:0         ], Txns:1    , Time:12543.529060678284
Id:0x51d3f9a9, Parent:0x64005036, Miner: [Id:5    , Balance:150       ], Txns:1    , Time:12607.383629298647
Id:0x7685abf8, Parent:0x51d3f9a9, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:13241.426490909795
Id:0x30219e05, Parent:0x7685abf8, Miner: [Id:38   , Balance:50        ], Txns:2    , Time:14299.348684232844
Id:0x25cc61f2, Parent:0x7685abf8, Miner: [Id:11   , Balance:102       ], Txns:5    , Time:14554.029545385287
Id:0x14c2eb85, Parent:0x7685abf8, Miner: [Id:3    , Balance:50        ], Txns:3    , Time:15483.751430675602
Id:0x325c26b2, Parent:0x30219e05, Miner: [Id:22   , Balance:52        ], Txns:1    , Time:16138.159745509547
Id:0x40c73474, Parent:0x30219e05, Miner: [Id:44   , Balance:50        ], Txns:7    , Time:16338.651804349618
Id:0x6c667c2b, Parent:0x64005036, Miner: [Id:3    , Balance:50        ], Txns:13   , Time:16684.08723494064
Id:0x4dba2a59, Parent:0x325c26b2, Miner: [Id:48   , Balance:0         ], Txns:23   , Time:17110.448412488007
Id:0x63450bb0, Parent:0x325c26b2, Miner: [Id:37   , Balance:102       ], Txns:2    , Time:17240.190378953193
Id:0x3fbb6dbf, Parent:0x4dba2a59, Miner: [Id:51   , Balance:150       ], Txns:3    , Time:17802.90317836404
Id:0x2c384d88, Parent:0x63450bb0, Miner: [Id:50   , Balance:100       ], Txns:4    , Time:17927.121746495297
Id:0x0a484093, Parent:0x4dba2a59, Miner: [Id:12   , Balance:0         ], Txns:1    , Time:18270.838609082537
